ANK3,9,9,10,9,10,10,9,10,10,9,10,9,10,9,10,10,10,9,9,9,9,10,9,10,10,9,9,9,9,10
IRAK3,5,13,14,14,13,14,5,14,13,5,14,5,13,13,13,13,13,5,5,6,5,13,6,13,14,5,6,13,5,13
ADAM12,25,23,28,28,27,28,24,27,28,24,27,23,29,27,27,25,28,24,25,24,27,28,25,27,27,25,24,27,24,27
LINC00861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PPP1R16B,3,3,4,3,4,4,3,4,4,3,4,3,4,3,4,4,4,3,3,3,3,4,3,4,4,3,3,3,3,4
ZFHX3,1,5,3,5,3,3,1,3,3,1,3,1,3,6,3,3,3,1,1,1,1,3,1,3,3,1,1,5,1,3
MERTK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLA-A,6,6,7,6,8,7,6,7,8,6,7,6,7,7,7,8,7,6,6,7,6,7,7,7,8,6,7,6,6,8
ZNF710,1,5,3,5,3,3,1,3,3,1,3,1,3,6,3,3,3,1,1,1,1,3,1,3,3,1,1,5,1,3
FCHO2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FLT3,11,11,12,11,12,12,11,12,12,11,12,11,12,11,12,12,12,11,11,11,11,12,11,12,12,11,11,11,11,12
LDB2,7,7,8,7,6,8,7,8,6,7,8,7,8,5,8,6,8,7,7,5,7,8,5,8,6,7,5,7,7,6
ABCA1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IL23R,25,23,28,28,27,28,24,27,28,24,27,23,29,27,27,25,28,24,25,24,27,28,25,27,27,25,24,27,24,27
PTPRD,7,7,8,7,6,8,7,8,6,7,8,7,8,5,8,6,8,7,7,5,7,8,5,8,6,7,5,7,7,6
ITGAX,18,19,19,19,19,19,17,19,19,17,19,17,19,19,19,19,19,18,18,17,19,19,18,19,19,17,17,19,17,19
HCK,12,12,3,13,3,3,12,3,3,12,3,12,3,12,3,3,3,12,12,13,12,3,12,3,3,12,12,12,12,3
PDE7A,4,4,5,4,5,5,4,5,5,4,5,4,5,4,5,5,5,4,4,4,4,5,4,5,5,4,4,4,4,5
CDC14A,9,9,10,9,10,10,9,10,10,9,10,9,10,9,10,10,10,9,9,9,9,10,9,10,10,9,9,9,9,10
CCDC26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CTSS,5,13,14,14,13,14,5,14,13,5,14,5,13,13,13,13,13,5,5,6,5,13,6,13,14,5,6,13,5,13
